epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.737,2.4259,2.17295,1.5224,0.51746,0.27775,0.28191,0.1258,2.06219,1.95829,1.35632,0.003,0.003,0.003
2,706.428,1.96817,1.36821,1.27463,0.62367,0.30922,0.33795,0.16353,1.87401,1.35187,1.27819,0.00299187,0.00299187,0.00299187
3,1055.38,1.82091,1.18934,1.20943,0.67938,0.37588,0.42316,0.21021,1.77773,1.11295,1.21477,0.00296755,0.00296755,0.00296755
4,1404.59,1.75028,1.09218,1.17233,0.71121,0.41127,0.46373,0.23015,1.70971,1.03504,1.1799,0.00292732,0.00292732,0.00292732
5,1872.26,1.70298,1.03848,1.14578,0.75447,0.37204,0.44006,0.23255,1.67381,1.02677,1.18016,0.00287162,0.00287162,0.00287162
6,2225.05,1.662,0.99197,1.12816,0.75849,0.43333,0.48884,0.24736,1.64717,0.98206,1.1654,0.00280105,0.00280105,0.00280105
7,2581.87,1.62622,0.96309,1.11102,0.7621,0.45097,0.51482,0.25931,1.61464,0.92653,1.13509,0.00271639,0.00271639,0.00271639
8,2928.87,1.60494,0.93724,1.09783,0.7604,0.44494,0.51864,0.27172,1.60431,0.9045,1.12723,0.00261857,0.00261857,0.00261857
9,3277.71,1.57583,0.91017,1.08621,0.76939,0.46309,0.53248,0.27705,1.57711,0.87597,1.11584,0.00250866,0.00250866,0.00250866
10,3621.26,1.55304,0.88865,1.07518,0.78415,0.4655,0.5384,0.27934,1.57049,0.86216,1.11106,0.00238786,0.00238786,0.00238786
11,3976.25,1.53297,0.86775,1.06875,0.78776,0.47879,0.54854,0.28574,1.55211,0.85106,1.10056,0.0022575,0.0022575,0.0022575
12,4314.18,1.50712,0.84756,1.05893,0.77004,0.46838,0.52889,0.273,1.56868,0.88139,1.10446,0.002119,0.002119,0.002119
13,4638.28,1.49283,0.83378,1.05231,0.78766,0.48281,0.55567,0.29059,1.54538,0.81977,1.09474,0.00197389,0.00197389,0.00197389
14,4990.14,1.472,0.81686,1.04407,0.78891,0.48915,0.5601,0.29276,1.52353,0.80215,1.09386,0.00182375,0.00182375,0.00182375
15,5327.79,1.45012,0.79853,1.03792,0.79412,0.49007,0.56226,0.29551,1.51982,0.80073,1.08583,0.00167022,0.00167022,0.00167022
16,5651.6,1.43212,0.78655,1.02935,0.79135,0.49293,0.56393,0.29653,1.52422,0.79791,1.09082,0.001515,0.001515,0.001515
17,5971.97,1.41474,0.76965,1.02295,0.79152,0.49579,0.56903,0.30202,1.51604,0.78688,1.0866,0.00135978,0.00135978,0.00135978
18,6323.04,1.39855,0.75839,1.0147,0.79584,0.49288,0.56802,0.30078,1.51352,0.78038,1.0835,0.00120625,0.00120625,0.00120625
19,6652.52,1.37578,0.7414,1.00815,0.79758,0.49676,0.57403,0.30442,1.51037,0.7852,1.07962,0.00105611,0.00105611,0.00105611
20,7002.59,1.36119,0.73208,1.00321,0.79206,0.5001,0.5726,0.30244,1.51269,0.77861,1.08408,0.000910996,0.000910996,0.000910996
21,7333.78,1.34532,0.71991,0.99559,0.79388,0.50163,0.57319,0.30326,1.50736,0.77086,1.0811,0.0007725,0.0007725,0.0007725
22,7668.72,1.33049,0.71182,0.98996,0.79411,0.50441,0.57762,0.30495,1.50868,0.76794,1.08645,0.000642139,0.000642139,0.000642139
23,8009.72,1.31594,0.70289,0.98435,0.79952,0.50637,0.57939,0.30686,1.50578,0.76664,1.08348,0.000521341,0.000521341,0.000521341
24,8337.73,1.29792,0.69429,0.98111,0.79585,0.50653,0.57832,0.30509,1.511,0.76603,1.08594,0.00041143,0.00041143,0.00041143
25,8682.48,1.28765,0.68794,0.97479,0.79824,0.50364,0.57822,0.30565,1.5091,0.76812,1.08576,0.00031361,0.00031361,0.00031361
26,9144.55,1.27858,0.68278,0.9727,0.7945,0.50712,0.57887,0.30643,1.51023,0.76619,1.08828,0.000228952,0.000228952,0.000228952
27,9495.39,1.26802,0.67716,0.96971,0.79521,0.50624,0.57919,0.30612,1.51004,0.76711,1.08704,0.000158385,0.000158385,0.000158385
28,9838.33,1.26267,0.67602,0.96771,0.79338,0.50694,0.57881,0.30508,1.51289,0.76768,1.08898,0.000102681,0.000102681,0.000102681
29,10187.7,1.25578,0.6712,0.96534,0.79347,0.50676,0.57912,0.30566,1.51287,0.76934,1.08999,6.24508e-05,6.24508e-05,6.24508e-05
30,10521.6,1.25327,0.67035,0.96476,0.7945,0.50672,0.57997,0.30577,1.51233,0.76895,1.08966,3.8135e-05,3.8135e-05,3.8135e-05
